starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 25 19:40:36 2017	1511656836	0	1	1	1
Sat Nov 25 19:41:32 2017	1511656892	0	1	1	1
Sat Nov 25 19:41:40 2017	1511656900	0	1	1	1
Sat Nov 25 19:40:51 2017	1511656851	0	1	1	1
Sat Nov 25 19:41:20 2017	1511656880	0	1	1	1
Sat Nov 25 19:41:33 2017	1511656893	0	1	1	1
Sat Nov 25 19:40:12 2017	1511656812	0	1	1	1
Sat Nov 25 19:39:59 2017	1511656799	0	1	1	1
Sat Nov 25 19:40:49 2017	1511656849	0	1	1	1
Sat Nov 25 19:40:53 2017	1511656853	0	1	1	1
Sat Nov 25 19:40:50 2017	1511656850	0	1	1	1
Sat Nov 25 19:41:27 2017	1511656887	0	1	1	1
Sat Nov 25 19:40:02 2017	1511656802	0	1	1	1
Sat Nov 25 19:40:01 2017	1511656801	0	1	1	1
Sat Nov 25 19:40:02 2017	1511656802	0	1	1	1
Sat Nov 25 19:40:02 2017	1511656802	0	1	1	1
Sat Nov 25 19:41:42 2017	1511656902	0	1	1	1
Sat Nov 25 19:41:05 2017	1511656865	0	1	1	1
Sat Nov 25 19:41:29 2017	1511656889	0	1	1	1
Sat Nov 25 19:41:40 2017	1511656900	0	1	1	1
Sat Nov 25 19:41:04 2017	1511656864	0	1	1	1
Sat Nov 25 19:41:30 2017	1511656890	0	1	1	1
Sat Nov 25 19:41:07 2017	1511656867	0	1	1	1
Sat Nov 25 19:40:43 2017	1511656843	0	1	1	1
Sat Nov 25 19:40:23 2017	1511656823	0	1	1	1
Sat Nov 25 19:41:28 2017	1511656888	0	1	1	1
Sat Nov 25 19:41:30 2017	1511656890	0	1	1	1
Sat Nov 25 19:40:28 2017	1511656828	0	1	1	1
Sat Nov 25 19:41:38 2017	1511656898	0	1	1	1
Sat Nov 25 19:40:50 2017	1511656850	0	1	1	1
Sat Nov 25 19:40:06 2017	1511656806	0	1	1	1
Sat Nov 25 19:41:31 2017	1511656891	0	1	1	1
Sat Nov 25 19:40:33 2017	1511656833	0	1	1	1
Sat Nov 25 19:41:30 2017	1511656890	0	1	1	1
Sat Nov 25 19:41:16 2017	1511656876	0	1	1	1
Sat Nov 25 19:41:28 2017	1511656888	0	1	1	1
Sat Nov 25 19:40:37 2017	1511656837	0	1	1	1
Sat Nov 25 19:41:43 2017	1511656903	0	1	1	1
Sat Nov 25 19:40:23 2017	1511656823	0	1	1	1
Sat Nov 25 19:40:51 2017	1511656851	0	1	1	1
Sat Nov 25 19:40:31 2017	1511656831	0	1	1	1
Sat Nov 25 19:40:27 2017	1511656827	0	1	1	1
Sat Nov 25 19:40:38 2017	1511656838	0	1	1	1
Sat Nov 25 19:41:36 2017	1511656896	0	1	1	1
Sat Nov 25 19:40:02 2017	1511656802	0	1	1	1
Sat Nov 25 19:40:43 2017	1511656843	0	1	1	1
Sat Nov 25 19:40:45 2017	1511656845	0	1	1	1
Sat Nov 25 19:40:45 2017	1511656845	0	1	1	1
Sat Nov 25 19:41:40 2017	1511656900	0	1	1	1
Sat Nov 25 19:40:19 2017	1511656819	0	1	1	1
Sat Nov 25 19:41:24 2017	1511656884	0	1	1	1
Sat Nov 25 19:40:52 2017	1511656852	0	1	1	1
Sat Nov 25 19:40:51 2017	1511656851	0	1	1	1
Sat Nov 25 19:40:49 2017	1511656849	0	1	1	1
Sat Nov 25 19:40:06 2017	1511656806	0	1	1	1
Sat Nov 25 19:41:06 2017	1511656866	0	1	1	1
Sat Nov 25 19:40:32 2017	1511656832	0	1	1	1
Sat Nov 25 19:41:34 2017	1511656894	0	1	1	1
Sat Nov 25 19:40:52 2017	1511656852	0	1	1	1
Sat Nov 25 19:40:48 2017	1511656848	0	1	1	1
Sat Nov 25 19:41:43 2017	1511656903	0	1	1	1
Sat Nov 25 19:41:12 2017	1511656872	0	1	1	1
Sat Nov 25 19:40:23 2017	1511656823	0	1	1	1
Sat Nov 25 19:41:14 2017	1511656874	0	1	1	1
Sat Nov 25 19:41:27 2017	1511656887	0	1	1	1
Sat Nov 25 19:41:08 2017	1511656868	0	1	1	1
Sat Nov 25 19:40:33 2017	1511656833	0	1	1	1
Sat Nov 25 19:40:56 2017	1511656856	0	1	1	1
Sat Nov 25 19:40:33 2017	1511656833	0	1	1	1
Sat Nov 25 19:40:31 2017	1511656831	0	1	1	1
Sat Nov 25 19:41:28 2017	1511656888	0	1	1	1
Sat Nov 25 19:40:32 2017	1511656832	0	1	1	1
Sat Nov 25 19:40:31 2017	1511656831	0	1	1	1
Sat Nov 25 19:41:30 2017	1511656890	0	1	1	1
Sat Nov 25 19:40:46 2017	1511656846	0	1	1	1
Sat Nov 25 19:40:23 2017	1511656823	0	1	1	1
Sat Nov 25 19:41:09 2017	1511656869	0	1	1	1
Sat Nov 25 19:40:10 2017	1511656810	0	1	1	1
Sat Nov 25 19:41:26 2017	1511656886	0	1	1	1
Sat Nov 25 19:41:33 2017	1511656893	0	1	1	1
Sat Nov 25 19:41:13 2017	1511656873	0	1	1	1
Sat Nov 25 19:40:01 2017	1511656801	0	1	1	1
Sat Nov 25 19:39:59 2017	1511656799	0	1	1	1
Sat Nov 25 19:40:07 2017	1511656807	0	1	1	1
Sat Nov 25 19:40:55 2017	1511656855	0	1	1	1
Sat Nov 25 19:40:58 2017	1511656858	0	1	1	1
Sat Nov 25 19:41:20 2017	1511656880	0	1	1	1
Sat Nov 25 19:40:50 2017	1511656850	0	1	1	1
Sat Nov 25 19:40:26 2017	1511656826	0	1	1	1
Sat Nov 25 19:40:49 2017	1511656849	0	1	1	1
Sat Nov 25 19:40:25 2017	1511656825	0	1	1	1
Sat Nov 25 19:40:42 2017	1511656842	0	1	1	1
Sat Nov 25 19:40:26 2017	1511656826	0	1	1	1
Sat Nov 25 19:40:08 2017	1511656808	0	1	1	1
Sat Nov 25 19:41:34 2017	1511656894	0	1	1	1
Sat Nov 25 19:40:51 2017	1511656851	0	1	1	1
Sat Nov 25 19:40:16 2017	1511656816	0	1	1	1
Sat Nov 25 19:40:43 2017	1511656843	0	1	1	1
Sat Nov 25 19:40:41 2017	1511656841	0	1	1	1
Sat Nov 25 19:40:30 2017	1511656830	0	1	1	1
Sat Nov 25 19:40:34 2017	1511656834	0	1	1	1
Sat Nov 25 19:41:08 2017	1511656868	0	1	1	1
Sat Nov 25 19:39:56 2017	1511656796	0	1	1	1
Sat Nov 25 19:40:53 2017	1511656853	0	1	1	1
Sat Nov 25 19:41:08 2017	1511656868	0	1	1	1
Sat Nov 25 19:41:39 2017	1511656899	0	1	1	1
Sat Nov 25 19:40:14 2017	1511656814	0	1	1	1
Sat Nov 25 19:40:01 2017	1511656801	0	1	1	1
Sat Nov 25 19:39:56 2017	1511656796	0	1	1	1
Sat Nov 25 19:40:31 2017	1511656831	0	1	1	1
Sat Nov 25 19:41:37 2017	1511656897	0	1	1	1
Sat Nov 25 19:40:54 2017	1511656854	0	1	1	1
Sat Nov 25 19:40:46 2017	1511656846	0	1	1	1
Sat Nov 25 19:41:13 2017	1511656873	0	1	1	1
Sat Nov 25 19:40:25 2017	1511656825	0	1	1	1
Sat Nov 25 19:41:20 2017	1511656880	0	1	1	1
Sat Nov 25 19:41:42 2017	1511656902	0	1	1	1
Sat Nov 25 19:41:00 2017	1511656860	0	1	1	1
Sat Nov 25 19:41:42 2017	1511656902	0	1	1	1
Sat Nov 25 19:40:40 2017	1511656840	0	1	1	1
Sat Nov 25 19:41:32 2017	1511656892	0	1	1	1
Sat Nov 25 19:40:05 2017	1511656805	0	1	1	1
Sat Nov 25 19:40:24 2017	1511656824	0	1	1	1
Sat Nov 25 19:40:27 2017	1511656827	0	1	1	1
Sat Nov 25 19:40:18 2017	1511656818	0	1	1	1
Sat Nov 25 19:40:57 2017	1511656857	0	1	1	1
Sat Nov 25 19:39:58 2017	1511656798	0	1	1	1
Sat Nov 25 19:40:11 2017	1511656811	0	1	1	1
Sat Nov 25 19:39:59 2017	1511656799	0	1	1	1
Sat Nov 25 19:41:39 2017	1511656899	0	1	1	1
Sat Nov 25 19:40:40 2017	1511656840	0	1	1	1
Sat Nov 25 19:39:59 2017	1511656799	0	1	1	1
Sat Nov 25 19:40:00 2017	1511656800	0	1	1	1
Sat Nov 25 19:41:37 2017	1511656897	0	1	1	1
Sat Nov 25 19:40:46 2017	1511656846	0	1	1	1
Sat Nov 25 19:40:55 2017	1511656855	0	1	1	1
Sat Nov 25 19:40:13 2017	1511656813	0	1	1	1
Sat Nov 25 19:40:29 2017	1511656829	0	1	1	1
Sat Nov 25 19:40:06 2017	1511656806	0	1	1	1
Sat Nov 25 19:41:37 2017	1511656897	0	1	1	1
Sat Nov 25 19:41:37 2017	1511656897	0	1	1	1
Sat Nov 25 19:40:06 2017	1511656806	0	1	1	1
Sat Nov 25 19:40:36 2017	1511656836	0	1	1	1
Sat Nov 25 19:40:11 2017	1511656811	0	1	1	1
Sat Nov 25 19:40:21 2017	1511656821	0	1	1	1
Sat Nov 25 19:39:58 2017	1511656798	0	1	1	1
Sat Nov 25 19:40:41 2017	1511656841	0	1	1	1
Sat Nov 25 19:40:10 2017	1511656810	0	1	2	1
Sat Nov 25 19:40:44 2017	1511656844	0	1	2	1
Sat Nov 25 19:40:05 2017	1511656805	0	1	2	1
Sat Nov 25 19:40:41 2017	1511656841	0	1	2	1
Sat Nov 25 19:41:34 2017	1511656894	0	1	2	1
Sat Nov 25 19:41:35 2017	1511656895	0	1	2	1
Sat Nov 25 19:40:05 2017	1511656805	0	1	2	1
Sat Nov 25 19:40:29 2017	1511656829	0	1	2	1
Sat Nov 25 19:41:34 2017	1511656894	0	2	2	1
Sat Nov 25 19:40:47 2017	1511656847	0	1	2	1
Sat Nov 25 19:40:37 2017	1511656837	0	1	2	1
Sat Nov 25 19:40:01 2017	1511656801	0	1	2	1
Sat Nov 25 19:40:21 2017	1511656821	0	2	2	1
Sat Nov 25 19:40:12 2017	1511656812	0	1	2	1
Sat Nov 25 19:41:37 2017	1511656897	0	1	2	1
Sat Nov 25 19:40:21 2017	1511656821	0	2	2	2
Sat Nov 25 19:40:29 2017	1511656829	0	2	2	2
Sat Nov 25 19:40:44 2017	1511656844	1	1	2	1
Sat Nov 25 19:40:09 2017	1511656809	0	1	2	1
Sat Nov 25 19:40:11 2017	1511656811	0	2	2	2
Sat Nov 25 19:40:00 2017	1511656800	0	2	2	2
Sat Nov 25 19:40:20 2017	1511656820	0	2	2	2
Sat Nov 25 19:40:41 2017	1511656841	0	2	2	2
Sat Nov 25 19:40:11 2017	1511656811	0	2	2	2
Sat Nov 25 19:40:29 2017	1511656829	0	2	2	2
Sat Nov 25 19:40:15 2017	1511656815	0	2	2	2
Sat Nov 25 19:40:11 2017	1511656811	0	2	2	2
Sat Nov 25 19:40:15 2017	1511656815	0	2	2	2
Sat Nov 25 19:40:19 2017	1511656819	0	2	2	2
Sat Nov 25 19:40:41 2017	1511656841	0	2	2	2
Sat Nov 25 19:40:10 2017	1511656810	0	2	2	2
