starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 03 22:53:58 2017	1512359638	1	2	3	2
Sun Dec 03 22:53:58 2017	1512359638	1	2	3	2
Sun Dec 03 22:53:57 2017	1512359637	1	2	3	2
Sun Dec 03 22:53:57 2017	1512359637	1	2	3	2
Sun Dec 03 22:53:58 2017	1512359638	1	2	3	2
Sun Dec 03 22:53:57 2017	1512359637	0	3	3	3
Sun Dec 03 22:53:56 2017	1512359636	1	2	3	2
Sun Dec 03 22:53:58 2017	1512359638	1	2	3	2
Sun Dec 03 22:53:58 2017	1512359638	1	2	3	2
Sun Dec 03 22:53:57 2017	1512359637	1	2	3	2
Sun Dec 03 22:53:57 2017	1512359637	1	3	3	3
Sun Dec 03 22:53:57 2017	1512359637	0	3	3	3
Sun Dec 03 22:53:57 2017	1512359637	1	3	3	3
Sun Dec 03 22:53:58 2017	1512359638	1	2	3	2
Sun Dec 03 22:53:56 2017	1512359636	1	2	3	2
Sun Dec 03 22:53:56 2017	1512359636	1	2	3	2
Sun Dec 03 22:53:57 2017	1512359637	1	3	3	3
Sun Dec 03 22:53:56 2017	1512359636	1	3	4	3
Sun Dec 03 22:53:58 2017	1512359638	1	2	4	2
Sun Dec 03 22:53:57 2017	1512359637	1	2	4	2
Sun Dec 03 22:53:58 2017	1512359638	1	2	4	2
Sun Dec 03 22:53:57 2017	1512359637	1	3	4	3
Sun Dec 03 22:53:58 2017	1512359638	1	2	4	2
Sun Dec 03 22:53:56 2017	1512359636	1	3	4	3
Sun Dec 03 22:53:58 2017	1512359638	1	3	4	3
Sun Dec 03 22:53:58 2017	1512359638	1	3	4	3
Sun Dec 03 22:53:57 2017	1512359637	2	2	4	2
Sun Dec 03 22:53:57 2017	1512359637	1	3	4	3
Sun Dec 03 22:53:56 2017	1512359636	1	3	4	3
Sun Dec 03 22:53:57 2017	1512359637	1	4	4	4
Sun Dec 03 22:53:52 2017	1512359632	1	3	4	3
Sun Dec 03 22:53:58 2017	1512359638	1	3	4	3
Sun Dec 03 22:53:57 2017	1512359637	1	4	4	3
Sun Dec 03 22:53:57 2017	1512359637	1	3	4	3
Sun Dec 03 22:53:57 2017	1512359637	1	3	4	3
Sun Dec 03 22:53:56 2017	1512359636	1	4	5	4
Sun Dec 03 22:53:52 2017	1512359632	1	3	5	3
Sun Dec 03 22:53:57 2017	1512359637	1	4	5	4
Sun Dec 03 22:53:56 2017	1512359636	2	3	5	3
Sun Dec 03 22:53:56 2017	1512359636	2	3	5	3
Sun Dec 03 22:53:56 2017	1512359636	1	4	5	4
Sun Dec 03 22:53:52 2017	1512359632	1	4	5	4
Sun Dec 03 22:53:58 2017	1512359638	1	4	5	3
Sun Dec 03 22:53:56 2017	1512359636	1	4	5	4
Sun Dec 03 22:53:57 2017	1512359637	1	4	5	4
Sun Dec 03 22:53:56 2017	1512359636	2	4	5	3
Sun Dec 03 22:53:56 2017	1512359636	1	4	5	4
Sun Dec 03 22:53:56 2017	1512359636	2	4	5	4
Sun Dec 03 22:53:56 2017	1512359636	1	4	5	4
Sun Dec 03 22:53:57 2017	1512359637	1	4	5	4
Sun Dec 03 22:53:57 2017	1512359637	1	4	5	4
Sun Dec 03 22:53:57 2017	1512359637	2	3	5	3
Sun Dec 03 22:53:56 2017	1512359636	1	4	5	4
Sun Dec 03 22:53:57 2017	1512359637	1	5	5	5
